,source,edge_type,target,weight
4732,spinal nerve,Disease {} localizes to anatomy,radiculopathy,1.8499554244044705e-06
4733,spinal nerve,Disease {} localizes to anatomy,Tangier disease,7.907156032160856e-06
4734,spinal nerve,Disease {} localizes to anatomy,neurogenic bladder,4.687220553023508e-06
4735,spinal nerve,Disease {} localizes to anatomy,perineurioma,3.414596676520887e-06
4736,spinal nerve,Disease {} localizes to anatomy,amyloidosis,4.992709364159964e-06
4737,spinal nerve,Disease {} localizes to anatomy,motor neuritis,1.1163981071149465e-05
4738,spinal nerve,Disease {} localizes to anatomy,leprosy,7.66203629609663e-06
4739,spinal nerve,Disease {} localizes to anatomy,polyradiculopathy,6.948497230041539e-06
4740,spinal nerve,Disease {} localizes to anatomy,Barre-Lieou syndrome,2.21356776819448e-06
4741,spinal nerve,Disease {} localizes to anatomy,neurofibroma,2.960453457490076e-06
4742,spinal nerve,Disease {} localizes to anatomy,herpes zoster,4.8516080823901575e-06
4743,spinal nerve,Disease {} localizes to anatomy,porphyria,6.481566288130125e-06
4744,spinal nerve,Disease {} localizes to anatomy,myelitis,6.647238024015678e-06
4745,spinal nerve,Disease {} localizes to anatomy,lepromatous leprosy,5.04078980156919e-06
4746,spinal nerve,Disease {} localizes to anatomy,melorheostosis,9.195170423481612e-05
4747,spinal nerve,Disease {} localizes to anatomy,brachial plexus neuropathy,2.483182242940529e-06
4748,spinal nerve,Disease {} localizes to anatomy,tabes dorsalis,2.7176470211998094e-06
4749,spinal nerve,Disease {} localizes to anatomy,spinal stenosis,8.63468085299246e-06
4750,spinal nerve,Disease {} localizes to anatomy,spondylolisthesis,1.7839260181062855e-05
4751,spinal nerve,Disease {} localizes to anatomy,vestibular schwannomatosis,3.352678959345212e-06
4752,spinal nerve,Disease {} localizes to anatomy,paraplegia,1.1445952623034827e-05
4753,spinal nerve,Disease {} localizes to anatomy,overactive bladder syndrome,4.895182428299449e-06
4754,spinal nerve,Disease {} localizes to anatomy,progressive muscular atrophy,1.1102205462520942e-05
4755,spinal nerve,Disease {} localizes to anatomy,cryoglobulinemia,1.406139836035436e-05
4756,spinal nerve,Disease {} localizes to anatomy,spinal cancer,7.253068361023907e-06
4757,spinal nerve,Disease {} localizes to anatomy,plasma cell neoplasm,1.392079866491258e-05
4758,spinal nerve,Disease {} localizes to anatomy,peripheral nerve sheath neoplasm,7.717611879343167e-06
4759,spinal nerve,Disease {} localizes to anatomy,hypolipoproteinemia,9.91932029137388e-06
4760,spinal nerve,Disease {} localizes to anatomy,neurilemmoma,7.653839929844253e-06
4761,spinal nerve,Disease {} localizes to anatomy,spinal cord disease,5.093901563668624e-06
4762,spinal nerve,Disease {} localizes to anatomy,tuberculoid leprosy,4.811579401575727e-06
4763,spinal nerve,Anatomy {} is a type of anatomy,nerve,7.930570973258e-06
4764,Somatosensory Disorders,Disease {} presents symptom,movement disease,1.6931786376517266e-05
4765,Somatosensory Disorders,Disease {} presents symptom,migraine with aura,2.1860569177079014e-07
4766,Somatosensory Disorders,Disease {} presents symptom,restless legs syndrome,2.1986842568821885e-07
4767,Somatosensory Disorders,Disease {} presents symptom,migraine,1.3268421525935992e-06
4768,Somatosensory Disorders,Disease {} presents symptom,generalized dystonia,1.1330304232615165e-06
4769,Somatosensory Disorders,Disease {} presents symptom,cranial nerve disease,1.2445059383026091e-06
4770,Somatosensory Disorders,Disease {} presents symptom,cerebral infarction,1.6244466394255141e-07
4771,Somatosensory Disorders,Disease {} presents symptom,cranial nerve palsy,7.410948796859884e-07
4772,Somatosensory Disorders,Disease {} presents symptom,vestibular disease,3.4924980809591943e-06
4773,Somatosensory Disorders,Disease {} presents symptom,brain infarction,4.6382831442315364e-07
4774,Somatosensory Disorders,Disease {} presents symptom,bruxism,5.629789825434273e-07
4775,Somatosensory Disorders,Disease {} presents symptom,transient cerebral ischemia,4.753095197429502e-07
4776,Somatosensory Disorders,Disease {} presents symptom,spastic diplegia,2.240165258626803e-06
4777,Somatosensory Disorders,Disease {} presents symptom,spastic quadriplegic cerebral palsy,2.310930767635e-06
4778,Somatosensory Disorders,Disease {} presents symptom,spastic monoplegia,2.6676532343117287e-06
4779,Somatosensory Disorders,Disease {} presents symptom,cerebral palsy,1.3402054719335863e-06
4780,Somatosensory Disorders,Disease {} presents symptom,brain ischemia,6.717547762491449e-07
4781,Somatosensory Disorders,Disease {} presents symptom,Guillain-Barre syndrome,5.034136734138883e-07
4782,Somatosensory Disorders,Disease {} presents symptom,skin disease,6.762515113223344e-06
4783,Somatosensory Disorders,Disease {} presents symptom,agnosia,3.3348689498780004e-07
4784,Somatosensory Disorders,Disease {} presents symptom,lateral medullary syndrome,3.20922026730841e-07
4785,Somatosensory Disorders,Disease {} presents symptom,brain stem infarction,3.140383455502161e-07
4786,Somatosensory Disorders,Disease {} presents symptom,Fabry disease,2.3527124994870974e-06
4787,Somatosensory Disorders,Disease {} presents symptom,polyneuropathy,1.2002863059024094e-06
4788,Somatosensory Disorders,Disease {} presents symptom,Parkinson's disease,3.3238691798942455e-07
4789,Somatosensory Disorders,Disease {} presents symptom,diabetic polyneuropathy,1.883610366348876e-06
4790,Somatosensory Disorders,Disease {} presents symptom,critical illness polyneuropathy,6.864609076728811e-07
4791,Somatosensory Disorders,Disease {} presents symptom,multiple sclerosis,7.064349460961239e-07
4792,Somatosensory Disorders,Disease {} presents symptom,diabetic neuropathy,2.5588058178982465e-06
4793,Somatosensory Disorders,Disease {} presents symptom,diabetic autonomic neuropathy,1.9672127109515718e-06
4794,Somatosensory Disorders,Disease {} presents symptom,Charcot-Marie-Tooth disease,6.299994197433989e-07
4795,Somatosensory Disorders,Disease {} presents symptom,hereditary sensory and autonomic neuropathy type 2,1.035493141898769e-06
4796,Somatosensory Disorders,Disease {} presents symptom,multiple chemical sensitivity,3.3441594951000297e-06
4797,Somatosensory Disorders,Disease {} presents symptom,irritable bowel syndrome,8.705841537448578e-06
4798,Somatosensory Disorders,Disease {} presents symptom,reflex sympathetic dystrophy,2.048501755780308e-06
4799,Somatosensory Disorders,Disease {} presents symptom,complex regional pain syndrome,1.4180230891724932e-06
4800,Somatosensory Disorders,Disease {} presents symptom,thalamic disease,4.39769422655445e-07
4801,Somatosensory Disorders,Disease {} presents symptom,carpal tunnel syndrome,1.1108949138360913e-06
4802,Somatosensory Disorders,Disease {} presents symptom,radiculopathy,9.288091291637102e-07
4803,Somatosensory Disorders,Disease {} presents symptom,leprosy,1.9250946934334934e-06
4804,Somatosensory Disorders,Disease {} presents symptom,brachial plexus neuropathy,5.681823949998943e-06
4805,Somatosensory Disorders,Disease {} presents symptom,spinal cord disease,1.0358587587688817e-06
4806,Somatosensory Disorders,Disease {} presents symptom,bladder disease,1.252957372344099e-05
4807,Somatosensory Disorders,Disease {} presents symptom,myopathy,1.504202714386338e-06
4808,Somatosensory Disorders,Disease {} presents symptom,sarcoidosis,3.314152934308368e-07
4809,Somatosensory Disorders,Disease {} presents symptom,mouth disease,1.6519730706932023e-05
4810,Somatosensory Disorders,Disease {} presents symptom,rectal disease,6.301590474322438e-06
4811,Somatosensory Disorders,Disease {} presents symptom,rhinitis,6.604187205994094e-07
4812,TNF,"In genetics, disease {} associates with gene",musculoskeletal system disease,1.6135896657942794e-05
4813,TNF,"In genetics, disease {} associates with gene",connective tissue disease,6.056701749912463e-06
4814,TNF,"In genetics, disease {} associates with gene",disease of anatomical entity,0.0001284581376239
4815,TNF,"In genetics, disease {} associates with gene",visual impairment and progressive phthisis bulbi,1.081467416952364e-06
4816,TNF,Anatomy {} expresses gene,amygdala,3.289355299784802e-05
4817,TNF,Gene {} downregulated in tissue,amygdala,0.0001060533177223
4818,TNF,Anatomy {} expresses gene,transverse colon,7.332687528105453e-05
4819,TNF,Anatomy {} expresses gene,left adrenal gland,5.290413537295535e-05
4820,TNF,Anatomy {} expresses gene,testis,0.0001473314623581
4821,TNF,Gene {} downregulated in tissue,testis,2.4556451535318047e-05
4822,TNF,Anatomy {} expresses gene,lower esophagus muscularis layer,6.097551249695243e-06
4823,TNF,Gene {} downregulated in tissue,lower esophagus muscularis layer,4.017273022327572e-05
4824,TNF,Anatomy {} expresses gene,right adrenal gland,3.4614222386153415e-05
4825,TNF,Anatomy {} expresses gene,left lobe of thyroid gland,0.0001292712549911
4826,TNF,Gene {} downregulated in tissue,left lobe of thyroid gland,0.0001020876661641
4827,TNF,Anatomy {} expresses gene,blood,0.0001044694872689
4828,TNF,Gene {} upregulated in tissue,blood,4.926635301671922e-05
4829,TNF,Anatomy {} expresses gene,tibial nerve,3.505304630380124e-05
4830,TNF,Gene {} downregulated in tissue,tibial nerve,0.0001113758189603
4831,TNF,Anatomy {} expresses gene,muscle of leg,0.0001637068926356
4832,TNF,Gene {} downregulated in tissue,muscle of leg,5.681784750777297e-05
4833,TNF,Anatomy {} expresses gene,upper lobe of left lung,9.186728675558696e-06
4834,TNF,Anatomy {} expresses gene,cortex of kidney,6.040949301677756e-05
4835,TNF,Anatomy {} expresses gene,C1 segment of cervical spinal cord,3.1999916245695204e-06
4836,TNF,Gene {} downregulated in tissue,C1 segment of cervical spinal cord,5.5938739933480974e-06
4837,TNF,Anatomy {} expresses gene,putamen,6.099771326262271e-06
4838,TNF,Gene {} downregulated in tissue,putamen,6.97139766998589e-05
4839,TNF,Anatomy {} expresses gene,vagina,0.000295777717838
4840,TNF,Gene {} downregulated in tissue,vagina,4.797757355845533e-05
4841,TNF,Anatomy {} expresses gene,subcutaneous adipose tissue,1.610364233783912e-05
4842,TNF,Gene {} downregulated in tissue,subcutaneous adipose tissue,5.60159060114529e-05
4843,TNF,Anatomy {} expresses gene,body of uterus,0.0001463690132368
4844,TNF,Gene {} downregulated in tissue,body of uterus,6.359763574437238e-06
4845,TNF,Anatomy {} expresses gene,skin of leg,1.556455208628904e-05
4846,TNF,Anatomy {} expresses gene,skeletal muscle tissue,4.872741192230024e-05
4847,TNF,Anatomy {} expresses gene,gastrocnemius,7.971485320013016e-05
4848,TNF,Gene {} downregulated in tissue,gastrocnemius,8.472242916468531e-05
4849,TNF,Anatomy {} expresses gene,frontal cortex,2.2294696464086883e-05
4850,TNF,Gene {} downregulated in tissue,frontal cortex,0.0001716445112833
4851,TNF,Anatomy {} expresses gene,right frontal lobe,4.140692908549681e-05
4852,TNF,Gene {} downregulated in tissue,right frontal lobe,0.0001397264859406
4853,TNF,Anatomy {} expresses gene,lung,9.526420035399497e-05
4854,TNF,Anatomy {} expresses gene,esophagus mucosa,1.3962954653834458e-05
4855,TNF,Anatomy {} expresses gene,myometrium,2.7607726224232465e-05
4856,TNF,Gene {} downregulated in tissue,myometrium,5.393212632043287e-05
4857,TNF,Anatomy {} expresses gene,tibial artery,1.908580270537641e-05
4858,TNF,Gene {} downregulated in tissue,tibial artery,6.546106305904686e-05
4859,TNF,Anatomy {} expresses gene,left ovary,8.999297278933227e-05
4860,TNF,Gene {} downregulated in tissue,left ovary,7.549294969066978e-05
4861,TNF,Anatomy {} expresses gene,spleen,3.4202676033601165e-05
4862,TNF,Gene {} upregulated in tissue,spleen,3.7988425901858136e-05
4863,TNF,Anatomy {} expresses gene,hypothalamus,1.98729812836973e-05
4864,TNF,Gene {} downregulated in tissue,hypothalamus,4.482421354623512e-05
4865,TNF,Anatomy {} expresses gene,right lobe of liver,2.252664853585884e-05
4866,TNF,Gene {} downregulated in tissue,right lobe of liver,5.490289186127484e-05
4867,TNF,Anatomy {} expresses gene,omental fat pad,2.4631053747725676e-05
4868,TNF,Gene {} upregulated in tissue,omental fat pad,3.6704452213598415e-05
4869,TNF,Anatomy {} expresses gene,ectocervix,7.763219036860391e-05
4870,TNF,Gene {} downregulated in tissue,ectocervix,4.858009924646467e-05
4871,TNF,Anatomy {} expresses gene,caudate nucleus,1.2516131391748786e-05
4872,TNF,Gene {} downregulated in tissue,caudate nucleus,8.119603444356471e-05
4873,TNF,Anatomy {} expresses gene,placenta,6.254167965380475e-05
4874,TNF,Anatomy {} expresses gene,thoracic mammary gland,5.086161036160775e-05
4875,TNF,Anatomy {} expresses gene,liver,8.293249265989289e-05
4876,TNF,Gene {} downregulated in tissue,liver,3.254762850701809e-05
4877,TNF,Anatomy {} expresses gene,Ammon's horn,0.0001387107768096
4878,TNF,Gene {} downregulated in tissue,Ammon's horn,1.2517601135186853e-05
4879,TNF,Anatomy {} expresses gene,left adrenal gland cortex,2.9794715374009684e-05
4880,TNF,Anatomy {} expresses gene,nucleus accumbens,9.213789780915247e-06
4881,TNF,Gene {} downregulated in tissue,nucleus accumbens,5.383518873713911e-05
4882,TNF,Anatomy {} expresses gene,small intestine Peyer's patch,2.2455376893049103e-05
4883,TNF,Gene {} upregulated in tissue,small intestine Peyer's patch,1.693674857961014e-05
4884,TNF,Anatomy {} expresses gene,adult mammalian kidney,6.202565418789163e-05
4885,TNF,Anatomy {} expresses gene,endocervix,0.0001379229361191
4886,TNF,Gene {} downregulated in tissue,endocervix,5.236656579654664e-05
4887,TNF,Anatomy {} expresses gene,right adrenal gland cortex,2.6234332835883837e-05
4888,TNF,Anatomy {} expresses gene,lymph node,8.306696145155001e-06
4889,TNF,Anatomy {} expresses gene,prefrontal cortex,1.838450407376513e-05
4890,TNF,Gene {} downregulated in tissue,prefrontal cortex,0.000135722948471
4891,TNF,Anatomy {} expresses gene,thoracic aorta,2.611302261357196e-05
4892,TNF,Anatomy {} expresses gene,temporal lobe,2.8547261536004956e-05
4893,TNF,Anatomy {} expresses gene,prostate gland,1.0774789188872091e-05
4894,TNF,Gene {} downregulated in tissue,prostate gland,3.771852789213881e-05
4895,TNF,Anatomy {} expresses gene,anterior cingulate cortex,2.29938086704351e-05
4896,TNF,Gene {} downregulated in tissue,anterior cingulate cortex,5.690658144885674e-05
4897,TNF,Anatomy {} expresses gene,skin of abdomen,2.9025457479292527e-05
4898,TNF,Gene {} upregulated in tissue,skin of abdomen,5.6267730542458594e-05
4899,TNF,Anatomy {} expresses gene,cerebellar hemisphere,2.7733502065530047e-05
4900,TNF,Gene {} downregulated in tissue,cerebellar hemisphere,5.684032657882199e-05
4901,TNF,Anatomy {} expresses gene,heart,0.0002452725893817
4902,TNF,Gene {} downregulated in tissue,heart,0.0001054600943461
4903,TNF,Anatomy {} expresses gene,body of pancreas,2.7276462787995115e-05
4904,TNF,Gene {} downregulated in tissue,body of pancreas,6.637649221374886e-06
4905,TNF,Anatomy {} expresses gene,dorsolateral prefrontal cortex,8.200056981877424e-06
4906,TNF,Gene {} downregulated in tissue,dorsolateral prefrontal cortex,0.0001093329119612
4907,TNF,Anatomy {} expresses gene,heart left ventricle,5.793057789560408e-05
4908,TNF,Anatomy {} expresses gene,esophagogastric junction muscularis propria,6.015559847583063e-06
4909,TNF,Gene {} downregulated in tissue,esophagogastric junction muscularis propria,1.4809944332228042e-05
4910,TNF,Gene product {} downregulates gene,PIN1,1.493931449658703e-06
4911,TNF,Overexpressed gene {} downregulates target gene,PIN1,1.6468607100250663e-06
4912,TNF,Gene product {} downregulates gene,PCCB,3.1077190669748238e-06
4913,TNF,Gene product {} downregulates gene,VDAC1,1.5469757954633678e-06
4914,TNF,Gene product {} downregulates gene,UBE2S,1.3646083516505314e-06
4915,TNF,Overexpressed gene {} downregulates target gene,DNM1L,4.159465788688976e-06
4916,TNF,Gene product {} upregulates gene,SNAP25,6.255544121813728e-06
4917,TNF,Overexpressed gene {} upregulates target gene,SNAP25,6.520743227156345e-06
4918,TNF,Knocked-out gene {} upregulates target gene,DCTD,2.1205100892984774e-06
4919,TNF,Gene product {} upregulates gene,KIAA0753,5.100733233120991e-06
4920,TNF,Gene product {} downregulates gene,CRK,2.6516966045164736e-06
4921,TNF,Overexpressed gene {} downregulates target gene,CRK,2.828595370374387e-06
4922,TNF,Gene product {} upregulates gene,CACNA1C,6.972102710278705e-06
4923,TNF,Gene product {} upregulates gene,DNMT3A,2.968875833175844e-06
4924,TNF,Gene product {} upregulates gene,NLRP3,1.423518710907956e-06
4925,TNF,Gene product {} upregulates gene,SRCAP,6.567984200955834e-06
4926,TNF,Gene product {} upregulates gene,CYLD,2.926922661572462e-06
4927,TNF,Gene product {} downregulates gene,EZH2,4.913340490020346e-06
4928,TNF,Gene product {} upregulates gene,HLA-DRB1,3.75865829482791e-06
4929,TNF,Gene product {} upregulates gene,PAFAH1B1,7.464766895282082e-06
4930,TNF,Gene product {} downregulates gene,GARS1,3.7676618376281112e-06
4931,TNF,Gene product {} upregulates gene,FBN2,5.246678028925089e-06
4932,TNF,Gene product {} upregulates gene,KLF11,1.1382416232663672e-05
4933,TNF,Gene product {} upregulates gene,VHL,9.499693987891078e-06
4934,TNF,Gene product {} downregulates gene,RAF1,1.5505280543948174e-06
4935,TNF,Gene product {} upregulates gene,NOD2,1.9393137336010118e-06
4936,TNF,Gene product {} upregulates gene,IRF6,5.822076218464645e-06
4937,TNF,Gene product {} downregulates gene,F12,3.216021696061944e-06
4938,TNF,Gene product {} upregulates gene,NPRL2,5.226617304288084e-06
4939,TNF,Gene product {} upregulates gene,DNMT1,2.995552904394572e-06
4940,TNF,Gene product {} upregulates gene,TGFB2,1.6313855439875624e-06
4941,TNF,Gene product {} downregulates gene,STXBP1,7.055501555441879e-06
4942,TNF,Gene product {} upregulates gene,TRPV4,1.5157021380218794e-06
4943,TNF,Gene product {} upregulates gene,WASHC5,5.159748525329633e-06
4944,TNF,Gene product {} upregulates gene,GCH1,1.5530570180999348e-06
4945,TNF,Gene product {} upregulates gene,COL4A1,3.42389103025198e-06
4946,TNF,Gene product {} upregulates gene,HIVEP2,6.629449671891052e-06
4947,TNF,Gene product {} upregulates gene,KCNA1,7.987080607563257e-06
4948,TNF,Gene product {} downregulates gene,REEP1,6.639716048084665e-06
4949,TNF,Gene product {} upregulates gene,SMAD3,9.43054317303904e-07
4950,TNF,Gene product {} downregulates gene,GNAS,3.584509158827132e-06
4951,TNF,Gene product {} upregulates gene,SOX2,1.4463639672612771e-06
4952,TNF,Gene product {} upregulates gene,MED12,6.795793069613865e-06
4953,TNF,Gene product {} upregulates gene,FOXC2,6.894292255310575e-06
4954,TNF,Gene product {} upregulates gene,SOX4,1.87237560567155e-06
4955,TNF,Gene product {} upregulates gene,OPA3,2.168774926758488e-06
4956,TNF,Gene product {} downregulates gene,COG4,1.0712985840655165e-06
4957,TNF,Gene product {} upregulates gene,CTNND1,6.248334102565423e-06
4958,TNF,Gene product {} downregulates gene,RFC2,3.513953743095044e-06
4959,TNF,Gene product {} upregulates gene,TBX5,3.703619086081744e-06
4960,TNF,Gene product {} upregulates gene,FZD9,6.330783890007297e-06
4961,TNF,Gene product {} upregulates gene,ACVRL1,3.051786279684165e-06
4962,TNF,Gene product {} upregulates gene,C3,3.0673893434141064e-06
4963,TNF,Gene product {} upregulates gene,CFB,8.874845661921427e-06
4964,TNF,Gene product {} upregulates gene,EXT1,3.6524329516396392e-06
4965,TNF,Knocked-out gene {} downregulates target gene,EXT1,2.6052762223116588e-06
4966,TNF,Gene product {} upregulates gene,CSF1R,1.4003670685269751e-06
4967,TNF,Gene product {} upregulates gene,GFAP,1.8849978005164305e-06
4968,TNF,Gene product {} upregulates gene,FAT2,3.672452749015065e-06
4969,TNF,Gene product {} upregulates gene,TTBK2,3.654170541267376e-06
4970,TNF,Gene product {} downregulates gene,CHEK2,2.794734882627381e-06
4971,TNF,Gene product {} downregulates gene,SDC1,3.340290732012363e-06
4972,TNF,Gene product {} downregulates gene,BCL7B,4.797105248144362e-06
4973,TNF,Gene product {} upregulates gene,TLR4,5.946424153080443e-07
4974,TNF,Gene product {} upregulates gene,FILIP1L,9.940906238625756e-06
4975,TNF,Gene product {} upregulates gene,BRAF,1.5609365391355825e-06
4976,TNF,Gene product {} downregulates gene,EEF1A1,3.5372340789763257e-06
4977,TNF,Gene product {} downregulates gene,SDHB,2.1757909962616395e-06
4978,TNF,Gene product {} downregulates gene,STUB1,2.1927196485194145e-06
4979,TNF,Gene product {} upregulates gene,PIK3CD,2.797064098558621e-06
4980,TNF,Gene product {} upregulates gene,SERPINA1,1.156702751359262e-06
4981,TNF,Gene product {} upregulates gene,HBB,3.907600330421701e-06
4982,TNF,Overexpressed gene {} upregulates target gene,HTRA1,5.7591350923758e-06
4983,TNF,"In genetics, disease {} associates with gene",migraine with aura,1.5502035239478573e-05
4984,TNF,"In genetics, disease {} associates with gene",migraine,5.3667892643716186e-05
4985,TNF,"In genetics, disease {} associates with gene",nervous system disease,1.0722645129135344e-05
4986,TNF,Anatomy {} expresses gene,right testis,0.0001468412810936
4987,TNF,Gene {} downregulated in tissue,right testis,7.512854062952101e-05
4988,TNF,Anatomy {} expresses gene,mucosa of transverse colon,7.51591096559423e-06
4989,TNF,Anatomy {} expresses gene,urinary bladder,0.0001292366359848
4990,TNF,Gene {} downregulated in tissue,urinary bladder,3.05368666886352e-05
4991,TNF,Anatomy {} expresses gene,pituitary gland,3.3917156542884186e-05
4992,TNF,Gene {} downregulated in tissue,pituitary gland,6.495936395367607e-05
4993,TNF,Anatomy {} expresses gene,right ovary,6.819613190600649e-05
4994,TNF,Gene {} downregulated in tissue,right ovary,7.268947956617922e-05
4995,TNF,Anatomy {} expresses gene,right lobe of thyroid gland,0.0001512843300588
4996,TNF,Gene {} downregulated in tissue,right lobe of thyroid gland,4.26587721449323e-05
4997,TNF,Anatomy {} expresses gene,adenohypophysis,6.092917465139181e-05
4998,TNF,Gene {} downregulated in tissue,adenohypophysis,3.012856541317888e-05
4999,TNF,Anatomy {} expresses gene,right hemisphere of cerebellum,1.659652843954973e-05
5000,TNF,Gene {} downregulated in tissue,right hemisphere of cerebellum,8.897019870346412e-05
5001,TNF,Anatomy {} expresses gene,left testis,0.0001454224257031
5002,TNF,Gene {} downregulated in tissue,left testis,8.793423330644146e-05
5003,TNF,Anatomy {} expresses gene,apex of heart,0.0001293959794566
5004,TNF,Anatomy {} expresses gene,adrenal gland,4.9024936743080616e-05
5005,TNF,Anatomy {} expresses gene,right coronary artery,8.477355004288256e-05
5006,TNF,"In genetics, disease {} associates with gene",migraine without aura,1.867657374532428e-05
5007,TNF,"In genetics, disease {} associates with gene",immune system disease,5.517062163562514e-05
5008,TNF,"In genetics, disease {} associates with gene",autoimmune disease of musculoskeletal system,2.421593535473221e-06
5009,TNF,"In genetics, disease {} associates with gene",autoimmune disease,1.1151705621159635e-05
5010,TNF,"In genetics, disease {} associates with gene",primary immunodeficiency disease,6.141703579487512e-06
5011,TNF,"In genetics, disease {} associates with gene",arthritis,1.619578142708633e-05
5012,TNF,Overexpressed gene {} downregulates target gene,HSPA8,4.242015620548045e-06
5013,TNF,Gene product {} downregulates gene,PGAM1,3.737512770385365e-06
5014,TNF,Gene product {} downregulates gene,TXNDC9,1.0603265536701656e-06
5015,TNF,Gene product {} downregulates gene,AURKA,3.713394562510075e-06
5016,TNF,Gene product {} upregulates gene,RRS1,7.519513474107953e-06
5017,TNF,Knocked-out gene {} upregulates target gene,CDCA4,5.539325684367213e-06
5018,TNF,Gene product {} downregulates gene,KIF20A,5.881603101443034e-06
5019,TNF,Gene product {} downregulates gene,TSPAN4,4.3882200770895e-06
5020,TNF,Gene product {} downregulates gene,ADI1,2.493140300430241e-06
5021,TNF,Overexpressed gene {} downregulates target gene,ADI1,3.964481948059984e-06
5022,TNF,Gene product {} downregulates gene,ATF1,2.8319182092673145e-06
5023,TNF,Gene product {} downregulates gene,RBM34,3.408184284126037e-06
5024,TNF,Overexpressed gene {} downregulates target gene,RBM34,2.3986599444469903e-06
5025,TNF,Gene product {} downregulates gene,ENOPH1,9.649659659771714e-06
5026,TNF,Gene product {} downregulates gene,SUV39H1,3.4833792597055435e-06
5027,TNF,Gene product {} upregulates gene,EPHA3,4.687989985541208e-06
5028,TNF,Gene product {} downregulates gene,ALDOC,6.334444151434582e-06
5029,TNF,Gene product {} upregulates gene,STK10,2.122520754710422e-06
5030,TNF,Gene product {} downregulates gene,PRAF2,7.579162229376379e-06
5031,TNF,Gene product {} downregulates gene,DDIT4,2.401890014880337e-06
5032,TNF,Gene product {} upregulates gene,MAL,9.173030775855295e-06
5033,TNF,Overexpressed gene {} upregulates target gene,MAL,4.185927082289709e-06
5034,TNF,Gene product {} upregulates gene,TNF,1.916668225021567e-06
5035,TNF,"In genetics, disease {} associates with gene",autoimmune disease of peripheral nervous system,4.281324436306022e-06
5036,TNF,"In genetics, disease {} associates with gene",narcolepsy,5.121897629578598e-06
5037,TNF,"In genetics, disease {} associates with gene",Guillain-Barre syndrome,3.1503789159614826e-06
5038,TNF,"In genetics, disease {} associates with gene",sleep disorder,2.6410268674226245e-06
5039,TNF,"In genetics, disease {} associates with gene",bone inflammation disease,6.817915163992439e-06
5040,TNF,"In genetics, disease {} associates with gene",autoimmune disease of skin and connective tissue,1.920129307109164e-06
5041,TNF,"In genetics, disease {} associates with gene",alopecia areata,1.228111705131596e-05
5042,TNF,"In genetics, disease {} associates with gene",skin disease,3.149736812702031e-06
5043,TNF,"In genetics, disease {} associates with gene",disease of mental health,2.602446693344973e-05
5044,TNF,"In genetics, disease {} associates with gene",autoimmune disease of the nervous system,9.728835721034557e-06
5045,TNF,"In genetics, disease {} associates with gene",rheumatoid arthritis,4.455059297470143e-06
5046,TNF,"In genetics, disease {} associates with gene",juvenile rheumatoid arthritis,5.41058398084715e-06
5047,TNF,"In genetics, disease {} associates with gene",peripheral nervous system disease,6.6039351622748654e-06
5048,TNF,"In genetics, disease {} associates with gene",integumentary system disease,3.989930064562941e-06
5049,TNF,Gene product {} downregulates gene,HEATR3,3.9428973650501575e-06
5050,TNF,Gene product {} downregulates gene,SHQ1,1.3570193004852626e-06
5051,TNF,Gene product {} downregulates gene,BAG3,1.313332518293464e-06
5052,TNF,Gene product {} downregulates gene,HK1,2.2785679902881384e-06
5053,TNF,Gene product {} downregulates gene,TXN,2.6286206775694154e-06
5054,TNF,Gene product {} downregulates gene,NR2F2,8.337970939464867e-06
5055,TNF,Gene product {} downregulates gene,CTSL,3.106400072283577e-06
5056,TNF,Gene product {} downregulates gene,TM9SF2,4.343611180956941e-06
5057,TNF,Gene product {} downregulates gene,NFIB,5.28324972037808e-06
5058,TNF,Gene product {} downregulates gene,CCNB2,2.2161443666846026e-06
5059,TNF,Overexpressed gene {} downregulates target gene,CCNB2,3.743849674719968e-06
5060,TNF,Gene product {} downregulates gene,NOSIP,5.662271178152878e-06
5061,TNF,Gene product {} downregulates gene,SNX6,3.1214676710078493e-06
5062,TNF,Gene product {} downregulates gene,SERPINB6,4.3464092414069455e-06
5063,TNF,Gene product {} downregulates gene,XPNPEP1,2.1126793399162125e-06
5064,TNF,Gene product {} downregulates gene,VDAC2,1.69974146047025e-06
5065,TNF,Gene product {} downregulates gene,RRP1B,1.832979478422203e-06
5066,TNF,Gene product {} downregulates gene,ZCCHC24,5.784110271633836e-06
5067,TNF,Gene product {} downregulates gene,EFCAB11,4.385488864500076e-06
5068,TNF,Gene product {} downregulates gene,HES1,3.881681550410576e-06
5069,TNF,Gene product {} downregulates gene,PSMD4,3.4993656754522817e-06
5070,TNF,Gene product {} downregulates gene,IRX5,4.2732963265734725e-06
5071,TNF,Gene product {} downregulates gene,SNRPD1,5.472618795465678e-06
5072,TNF,Gene product {} downregulates gene,DLGAP5,4.187570993963163e-06
5073,TNF,Gene product {} downregulates gene,PLOD3,4.7176504267554265e-06
5074,TNF,Gene product {} downregulates gene,SNRPC,7.824045496818144e-06
5075,TNF,Gene product {} downregulates gene,TOMM70,1.0941016626020428e-06
5076,TNF,Gene product {} downregulates gene,TXLNA,7.498497325286735e-07
5077,TNF,Gene product {} downregulates gene,ALDH3A1,1.960977442649892e-06
5078,TNF,Gene product {} downregulates gene,SCYL3,4.782064479513792e-06
5079,TNF,Gene product {} downregulates gene,HPRT1,1.8384124587100812e-06
